transcript_id	counts	Gene
ENST00000557025.1	280	ENSG00000258970.1
ENST00000537388.1	36	ENSG00000180537.13
ENST00000466016.5	28	ENSG00000159111.13
ENST00000496376.1	126	ENSG00000241022.1
ENST00000564841.1	65	ENSG00000260738.1
ENST00000614839.4	41	ENSG00000229571.7
ENST00000426472.6	18	ENSG00000073331.18
ENST00000475392.1	12	ENSG00000198874.14
ENST00000418957.1	11	ENSG00000235092.7
ENST00000533693.5	4	ENSG00000251364.9
ENST00000547441.2	9	ENSG00000286209.1
ENST00000380216.1	109	ENSG00000147885.4
ENST00000646469.1	56	ENSG00000285068.1
ENST00000459546.1	132	ENSG00000238364.1
ENST00000446018.5	35	ENSG00000145979.18
ENST00000651960.1	63	ENSG00000286018.1
ENST00000587972.1	75	ENSG00000267227.1
ENST00000552427.1	21	ENSG00000136010.14
ENST00000630092.1	93	ENSG00000281000.1
ENST00000446930.1	14	ENSG00000183054.13
ENST00000433091.6	16	ENSG00000105854.13
ENST00000522522.5	19	ENSG00000143702.16
ENST00000378670.8	13	ENSG00000164405.11
ENST00000606530.1	6	ENSG00000145979.18
ENST00000614021.1	32	ENSG00000276592.1
ENST00000442777.2	58	ENSG00000223652.2
ENST00000625363.2	13	ENSG00000136854.24
ENST00000422805.2	6	ENSG00000064787.14
ENST00000471117.5	9	ENSG00000160752.15
ENST00000595047.5	115	ENSG00000125651.14
ENST00000354755.5	43	ENSG00000149201.10
ENST00000509564.1	7	ENSG00000073578.18
ENST00000595718.1	97	ENSG00000161677.12
ENST00000533121.1	24	ENSG00000137216.19
ENST00000505674.5	41	ENSG00000164902.14
ENST00000563247.1	211	ENSG00000260472.1
ENST00000569528.4	58	ENSG00000261239.6
ENST00000438345.1	66	ENSG00000234276.1
ENST00000672892.1	23	ENSG00000169814.17
ENST00000544090.5	6	ENSG00000103168.17
ENST00000657728.1	63	ENSG00000224243.2
ENST00000546806.1	11	ENSG00000196511.15
ENST00000549521.1	236	ENSG00000258112.1
ENST00000683215.1	3	ENSG00000164418.22
ENST00000495650.1	26	ENSG00000169905.13
ENST00000520377.1	64	ENSG00000178338.11
ENST00000471068.2	12	ENSG00000160710.18
ENST00000607033.5	6	ENSG00000227954.7
ENST00000597648.5	47	ENSG00000105640.13
ENST00000534528.5	12	ENSG00000100557.10
ENST00000526332.5	29	ENSG00000127054.22
ENST00000481113.1	20	ENSG00000160294.11
ENST00000507527.1	62	ENSG00000113073.15
ENST00000451327.2	172	ENSG00000233455.2
ENST00000443484.1	104	ENSG00000228943.1
ENST00000523943.1	30	ENSG00000151914.22
ENST00000449316.2	58	ENSG00000226203.2
ENST00000425261.1	132	ENSG00000223419.1
ENST00000507478.1	12	ENSG00000145723.17
ENST00000661137.1	5	ENSG00000249346.8
ENST00000466941.1	8	ENSG00000204859.13
ENST00000418284.5	71	ENSG00000122133.17
ENST00000472050.5	33	ENSG00000055044.11
ENST00000516901.1	7	ENSG00000252710.1
ENST00000523121.1	26	ENSG00000253679.1
ENST00000554054.5	57	ENSG00000188779.12
ENST00000525987.5	102	ENSG00000255292.9
ENST00000652852.1	113	ENSG00000286731.1
ENST00000653930.1	45	ENSG00000287660.1
ENST00000449805.2	289	ENSG00000226387.2
ENST00000500450.6	18	ENSG00000169714.17
ENST00000316073.3	105	ENSG00000215853.3
ENST00000658366.1	252	ENSG00000287036.1
ENST00000413656.5	16	ENSG00000177000.13
ENST00000624722.1	118	ENSG00000279641.1
ENST00000493338.1	3	ENSG00000197150.13
ENST00000689428.1	380	ENSG00000289410.2
ENST00000461189.1	15	ENSG00000153827.14
ENST00000615921.4	63	ENSG00000232295.7
ENST00000441978.1	95	ENSG00000235488.1
ENST00000603301.5	14	ENSG00000005238.20
ENST00000487720.1	27	ENSG00000005020.13
ENST00000518041.5	7	ENSG00000168802.14
ENST00000622533.4	20	ENSG00000131778.20
ENST00000591115.5	20	ENSG00000175354.20
ENST00000597972.5	5	ENSG00000197124.12
ENST00000438065.1	201	ENSG00000225128.1
ENST00000640168.2	15	ENSG00000084093.19
ENST00000618611.4	30	ENSG00000277654.6
ENST00000492388.3	95	ENSG00000241413.3
ENST00000316824.4	387	ENSG00000180318.4
ENST00000539239.5	8	ENSG00000087494.16
ENST00000566997.1	116	ENSG00000260182.1
ENST00000624421.1	219	ENSG00000279009.1
ENST00000593294.1	211	ENSG00000269786.1
ENST00000528421.1	106	ENSG00000255047.1
ENST00000520687.1	14	ENSG00000113140.11
ENST00000517707.5	6	ENSG00000197043.15
ENST00000393371.6	4	ENSG00000146090.16
ENST00000491995.1	63	ENSG00000242221.9
ENST00000441192.2	10	ENSG00000148660.22
ENST00000565940.6	8	ENSG00000129636.13
ENST00000589338.5	20	ENSG00000133247.14
ENST00000513052.1	7	ENSG00000153071.15
ENST00000369931.3	31	ENSG00000138111.14
ENST00000688855.1	13	ENSG00000251136.11
ENST00000561347.1	7	ENSG00000140395.9
ENST00000523517.5	35	ENSG00000104365.16
ENST00000668831.1	240	ENSG00000287438.1
ENST00000542691.5	21	ENSG00000129636.13
ENST00000611799.1	3	ENSG00000277053.4
ENST00000249014.5	72	ENSG00000128283.7
ENST00000619512.1	38	ENSG00000274824.1
ENST00000530263.1	37	ENSG00000255521.3
ENST00000410692.1	160	ENSG00000222624.1
ENST00000607452.6	3	ENSG00000170634.13
ENST00000595087.6	19	ENSG00000011243.19
ENST00000446370.1	11	ENSG00000260081.2
ENST00000535683.1	14	ENSG00000246100.5
ENST00000549519.5	10	ENSG00000123411.15
ENST00000328879.9	19	ENSG00000099910.17
ENST00000473481.1	64	ENSG00000136754.18
ENST00000497049.5	22	ENSG00000160584.17
ENST00000384900.1	24	ENSG00000207632.1
ENST00000333610.4	23	ENSG00000183891.6
ENST00000699582.1	56	ENSG00000081087.16
ENST00000543699.5	12	ENSG00000110801.14
ENST00000579988.1	15	ENSG00000133195.12
ENST00000451311.7	157	ENSG00000205542.11
ENST00000361443.4	416	ENSG00000164651.18
ENST00000535793.5	18	ENSG00000256269.11
ENST00000622471.1	50	ENSG00000276096.1
ENST00000696909.1	9	ENSG00000138448.13
ENST00000616989.1	5	ENSG00000205309.14
ENST00000628768.1	8	ENSG00000136854.24
ENST00000649953.1	33	ENSG00000176715.17
ENST00000436322.1	30	ENSG00000186854.11
ENST00000696919.1	32	ENSG00000138448.13
ENST00000559617.5	36	ENSG00000137843.12
ENST00000662276.1	125	ENSG00000287453.1
ENST00000516382.1	65	ENSG00000252191.1
ENST00000415146.1	96	ENSG00000224595.1
ENST00000598807.1	10	ENSG00000083845.9
ENST00000585088.1	55	ENSG00000253389.2
ENST00000408703.3	140	ENSG00000221630.3
ENST00000451831.1	57	ENSG00000241350.1
ENST00000507028.1	8	ENSG00000074211.14
ENST00000612507.1	94	ENSG00000277320.1
ENST00000574864.1	200	ENSG00000213109.4
ENST00000568944.5	18	ENSG00000140400.18
ENST00000474408.1	31	ENSG00000143486.16
ENST00000584010.5	24	ENSG00000198231.14
ENST00000515724.1	102	ENSG00000249689.1
ENST00000556810.5	11	ENSG00000070269.14
ENST00000261200.9	433	ENSG00000069431.14
ENST00000639627.1	31	ENSG00000257137.7
ENST00000477958.5	5	ENSG00000142657.21
ENST00000550328.1	9	ENSG00000173588.16
ENST00000656239.1	121	ENSG00000287958.2
ENST00000459673.1	15	ENSG00000148600.15
ENST00000426413.2	87	ENSG00000225546.6
ENST00000652633.1	91	ENSG00000270071.5
ENST00000438648.1	46	ENSG00000232668.1
ENST00000636723.1	34	ENSG00000157388.20
ENST00000570167.1	175	ENSG00000260249.3
ENST00000384136.1	75	ENSG00000206863.1
ENST00000562200.5	6	ENSG00000103051.21
ENST00000606972.2	163	ENSG00000272096.2
ENST00000682787.1	17	ENSG00000144426.19
ENST00000614453.1	11	ENSG00000204685.9
ENST00000686876.1	1187	ENSG00000181555.22
ENST00000453900.2	30	ENSG00000235092.7
ENST00000563843.1	194	ENSG00000261485.1
ENST00000453329.5	1	ENSG00000104953.20
ENST00000563305.1	22	ENSG00000159720.13
ENST00000419079.1	60	ENSG00000144407.10
ENST00000376573.9	17	ENSG00000150867.14
ENST00000249442.11	219	ENSG00000128654.14
ENST00000218008.8	144	ENSG00000101892.12
ENST00000636949.1	218	ENSG00000283427.1
ENST00000374294.3	97	ENSG00000244115.1
ENST00000647310.1	108	ENSG00000285483.1
ENST00000400004.6	109	ENSG00000182798.10
ENST00000427901.1	71	ENSG00000235523.1
ENST00000537626.5	14	ENSG00000177575.13
ENST00000317178.10	321	ENSG00000152443.13
ENST00000378561.5	17	ENSG00000005238.20
ENST00000695666.1	6	ENSG00000167286.11
ENST00000515013.5	20	ENSG00000152784.16
ENST00000548060.1	26	ENSG00000257792.1
ENST00000567001.5	26	ENSG00000066813.14
ENST00000267803.8	13	ENSG00000140254.13
ENST00000464802.1	221	ENSG00000230562.3
ENST00000503353.1	93	ENSG00000250500.1
ENST00000393229.4	31	ENSG00000196358.12
ENST00000393980.8	93	ENSG00000170231.16
ENST00000561366.1	14	ENSG00000166411.14
ENST00000690821.2	25	ENSG00000253154.4
ENST00000480995.5	19	ENSG00000179603.18
ENST00000563162.1	19	ENSG00000260989.1
ENST00000523742.1	91	ENSG00000254130.1
ENST00000593119.5	41	ENSG00000196365.12
ENST00000590016.5	6	ENSG00000185379.21
ENST00000244230.7	33	ENSG00000124383.11
ENST00000322434.8	97	ENSG00000178338.11
ENST00000653454.1	351	ENSG00000160808.11
ENST00000462304.5	29	ENSG00000137343.18
ENST00000465028.1	26	ENSG00000229972.9
ENST00000523400.5	12	ENSG00000197140.15
ENST00000504387.5	18	ENSG00000111859.17
ENST00000358993.3	195	ENSG00000198573.7
ENST00000457775.3	204	ENSG00000283463.2
ENST00000411735.2	185	ENSG00000228020.2
ENST00000415556.2	144	ENSG00000235296.2
ENST00000444082.2	173	ENSG00000227242.4
ENST00000518078.1	255	ENSG00000254050.1
ENST00000670372.1	18	ENSG00000125804.14
ENST00000475208.5	48	ENSG00000121900.19
ENST00000506966.1	51	ENSG00000249074.1
ENST00000617241.1	23	ENSG00000236467.8
ENST00000564622.1	33	ENSG00000140829.12
ENST00000558509.5	38	ENSG00000166411.14
ENST00000497871.1	22	ENSG00000171953.16
ENST00000444921.3	13	ENSG00000179603.18
ENST00000414011.1	48	ENSG00000159111.13
ENST00000440453.1	113	ENSG00000228657.1
ENST00000416676.5	2	ENSG00000121446.20
ENST00000589590.1	39	ENSG00000123144.11
ENST00000373670.5	2956	ENSG00000056586.16
ENST00000507025.1	5	ENSG00000152784.16
ENST00000567296.6	26	ENSG00000132604.11
ENST00000510412.5	25	ENSG00000071539.14
ENST00000507903.2	159	ENSG00000249579.2
ENST00000439254.1	22	ENSG00000186281.13
ENST00000487531.1	132	ENSG00000179914.5
ENST00000457020.3	68	ENSG00000226929.3
ENST00000562158.1	74	ENSG00000261364.1
ENST00000549251.1	53	ENSG00000257642.1
ENST00000432679.1	216	ENSG00000285799.1
ENST00000652377.1	82	ENSG00000169255.15
ENST00000698852.1	12	ENSG00000149781.14
ENST00000468480.5	52	ENSG00000127870.17
ENST00000356147.3	6	ENSG00000132670.21
ENST00000411761.2	105	ENSG00000236496.2
ENST00000528385.5	21	ENSG00000198945.8
ENST00000410102.5	59	ENSG00000064989.13
ENST00000583151.1	121	ENSG00000265593.1
ENST00000618656.2	19	ENSG00000008988.11
ENST00000618452.1	318	ENSG00000274357.1
ENST00000460991.1	25	ENSG00000186854.11
ENST00000367357.3	64	ENSG00000116833.14
ENST00000371734.7	11	ENSG00000187796.16
ENST00000488403.5	36	ENSG00000055044.11
ENST00000501918.2	40	ENSG00000245385.2
ENST00000525197.1	581	ENSG00000160973.8
ENST00000403053.1	29	ENSG00000216360.1
ENST00000473306.1	20	ENSG00000065802.12
ENST00000369849.9	245	ENSG00000148798.11
ENST00000608990.6	69	ENSG00000198547.10
ENST00000622863.4	7	ENSG00000084093.19
ENST00000663411.1	25	ENSG00000255794.11
ENST00000540486.5	175	ENSG00000170043.12
ENST00000685741.1	2	ENSG00000064787.14
ENST00000416141.3	58	ENSG00000226653.3
ENST00000665703.1	150	ENSG00000286458.1
ENST00000479201.2	18	ENSG00000146834.15
ENST00000380984.4	4	ENSG00000132437.18
ENST00000670199.1	51	ENSG00000268895.6
ENST00000660459.1	74	ENSG00000233860.2
ENST00000568695.1	189	ENSG00000260088.1
ENST00000674129.1	11	ENSG00000145335.17
ENST00000660758.1	13	ENSG00000254427.3
ENST00000557228.2	185	ENSG00000258925.2
ENST00000384069.1	51	ENSG00000206796.1
ENST00000602768.1	190	ENSG00000269886.1
ENST00000580649.1	125	ENSG00000167863.12
ENST00000478073.6	25	ENSG00000104953.20
ENST00000578331.1	34	ENSG00000266501.1
ENST00000422697.1	229	ENSG00000236414.1
ENST00000679772.1	15	ENSG00000058056.10
ENST00000285383.6	115	ENSG00000155070.8
ENST00000514549.2	157	ENSG00000248766.2
ENST00000508798.5	6	ENSG00000168785.8
ENST00000630728.1	22	ENSG00000227954.7
ENST00000534200.2	18	ENSG00000064703.13
ENST00000614966.1	235	ENSG00000274667.1
ENST00000258100.8	18	ENSG00000135632.12
ENST00000620271.1	184	ENSG00000274355.1
ENST00000652508.1	129	ENSG00000286224.1
ENST00000615347.1	125	ENSG00000278382.1
ENST00000528483.1	27	ENSG00000182359.15
ENST00000444546.1	48	ENSG00000224494.1
ENST00000452257.1	66	ENSG00000234385.1
ENST00000642356.2	2591	ENSG00000169432.19
ENST00000583211.5	4	ENSG00000136490.9
ENST00000377294.3	339	ENSG00000187626.9
ENST00000458793.1	75	ENSG00000239151.1
ENST00000612824.1	166	ENSG00000277386.1
ENST00000211413.10	55	ENSG00000204314.12
ENST00000387409.1	30	ENSG00000210144.1
ENST00000533128.1	148	ENSG00000254765.1
ENST00000446360.1	327	ENSG00000238081.1
ENST00000421624.1	143	ENSG00000232359.1
ENST00000365212.2	28	ENSG00000202082.2
ENST00000657954.1	58	ENSG00000286740.1
ENST00000367076.7	23	ENSG00000123843.13
ENST00000586265.5	20	ENSG00000186566.13
ENST00000457497.1	163	ENSG00000230076.1
ENST00000670755.2	7	ENSG00000235142.12
ENST00000653217.1	49	ENSG00000157193.18
ENST00000398604.3	91	ENSG00000253767.3
ENST00000423650.1	158	ENSG00000230243.1
ENST00000549341.1	7	ENSG00000166153.17
ENST00000596904.5	123	ENSG00000224892.6
ENST00000584682.1	16	ENSG00000011028.14
ENST00000576251.5	192	ENSG00000101574.15
ENST00000511066.5	53	ENSG00000173868.12
ENST00000363292.1	33	ENSG00000200162.1
ENST00000391014.1	14	ENSG00000212316.1
ENST00000637867.1	17	ENSG00000197694.18
ENST00000636072.1	5	ENSG00000117713.21
ENST00000506778.1	9	ENSG00000164347.18
ENST00000461547.5	38	ENSG00000124256.15
ENST00000354436.6	13	ENSG00000102908.23
ENST00000236914.7	11	ENSG00000116833.14
ENST00000472460.1	100	ENSG00000240174.1
ENST00000519609.1	51	ENSG00000254135.3
ENST00000555074.1	284	ENSG00000259132.1
ENST00000400436.8	2	ENSG00000174365.22
ENST00000633848.1	16	ENSG00000284634.1
ENST00000546836.1	11	ENSG00000258168.6
ENST00000463526.1	21	ENSG00000184220.12
ENST00000604280.1	7	ENSG00000270890.1
ENST00000521478.1	129	ENSG00000106006.6
ENST00000411143.1	185	ENSG00000223075.1
ENST00000650878.1	111	ENSG00000286249.1
ENST00000441853.5	40	ENSG00000185522.9
ENST00000624518.1	10	ENSG00000206072.13
ENST00000453454.5	49	ENSG00000214135.10
ENST00000471079.1	14	ENSG00000089682.17
ENST00000409244.5	30	ENSG00000178826.11
ENST00000438356.1	14	ENSG00000184863.11
ENST00000638502.1	91	ENSG00000280184.2
ENST00000400284.2	52	ENSG00000215418.2
ENST00000390762.1	100	ENSG00000212051.1
ENST00000643006.1	5	ENSG00000134371.14
ENST00000690428.1	15	ENSG00000246375.5
ENST00000425675.7	11	ENSG00000063241.8
ENST00000617900.1	41	ENSG00000198633.11
ENST00000454393.5	80	ENSG00000148057.16
ENST00000400099.5	13	ENSG00000154723.13
ENST00000503013.2	20	ENSG00000180801.14
ENST00000530845.5	25	ENSG00000149201.10
ENST00000460584.1	10	ENSG00000041802.11
ENST00000661289.3	13	ENSG00000224848.4
ENST00000578084.1	182	ENSG00000254960.2
ENST00000667334.1	63	ENSG00000259256.2
ENST00000420646.6	20	ENSG00000145335.17
ENST00000522894.5	56	ENSG00000155100.11
ENST00000617262.1	93	ENSG00000275787.1
ENST00000530144.6	84	ENSG00000076706.17
ENST00000495698.1	20	ENSG00000183891.6
ENST00000339397.5	258	ENSG00000151304.6
ENST00000514480.1	34	ENSG00000174796.12
ENST00000460287.2	52	ENSG00000177770.11
ENST00000547806.1	15	ENSG00000135108.16
ENST00000611307.1	18	ENSG00000274628.5
ENST00000505652.1	4	ENSG00000197894.12
ENST00000592830.1	125	ENSG00000266915.1
ENST00000545282.1	39	ENSG00000177459.11
ENST00000642613.1	90	ENSG00000112759.19
ENST00000513331.1	14	ENSG00000164347.18
ENST00000510363.1	56	ENSG00000145912.10
ENST00000381728.5	3	ENSG00000120158.12
ENST00000558454.1	51	ENSG00000259504.2
ENST00000364348.1	38	ENSG00000201218.1
ENST00000488370.1	5	ENSG00000197150.13
ENST00000630804.2	7	ENSG00000197694.18
ENST00000688450.1	18	ENSG00000125835.20
ENST00000683652.1	13	ENSG00000153029.16
ENST00000480069.1	255	ENSG00000244083.1
ENST00000521327.1	7	ENSG00000113140.11
ENST00000605812.1	123	ENSG00000271612.1
ENST00000417646.2	83	ENSG00000234345.2
ENST00000482529.1	50	ENSG00000171431.4
ENST00000564771.1	101	ENSG00000260948.1
ENST00000447938.1	196	ENSG00000234439.1
ENST00000020673.6	24	ENSG00000059915.17
ENST00000653842.1	53	ENSG00000255998.2
ENST00000607532.5	28	ENSG00000145979.18
ENST00000585374.5	17	ENSG00000196365.12
ENST00000457830.1	31	ENSG00000179603.18
ENST00000506401.6	54	ENSG00000005884.18
ENST00000379677.2	8	ENSG00000205334.4
ENST00000597296.1	26	ENSG00000186230.7
ENST00000461006.5	24	ENSG00000162517.13
ENST00000511634.1	60	ENSG00000248184.1
ENST00000670526.1	302	ENSG00000287427.1
ENST00000614678.1	13	ENSG00000085719.13
ENST00000640117.1	54	ENSG00000283980.1
ENST00000534687.5	21	ENSG00000167286.11
ENST00000445336.2	116	ENSG00000224775.2
ENST00000392363.2	238	ENSG00000213115.2
ENST00000335895.12	12	ENSG00000145741.17
ENST00000621935.1	82	ENSG00000274819.1
ENST00000682312.1	10	ENSG00000164418.22
ENST00000549144.1	137	ENSG00000258215.1
ENST00000467607.1	36	ENSG00000122678.17
ENST00000354952.7	11	ENSG00000114698.15
ENST00000676004.1	22	ENSG00000090861.17
ENST00000600643.5	17	ENSG00000269416.7
ENST00000502263.1	17	ENSG00000145912.10
ENST00000352083.7	48	ENSG00000284094.1
ENST00000696353.1	4	ENSG00000181544.16
ENST00000664186.1	190	ENSG00000287979.1
ENST00000485970.1	8	ENSG00000176248.9
ENST00000478252.1	7	ENSG00000242457.1
ENST00000589558.1	11	ENSG00000187244.12
ENST00000558044.1	41	ENSG00000259654.1
ENST00000585313.5	15	ENSG00000109083.14
ENST00000687924.2	195	ENSG00000288875.2
ENST00000470860.2	300	ENSG00000242671.2
ENST00000367871.5	21	ENSG00000028839.10
ENST00000460873.5	4	ENSG00000105854.13
ENST00000364798.1	79	ENSG00000201668.1
ENST00000320574.10	51	ENSG00000177084.19
ENST00000489538.1	23	ENSG00000008130.15
ENST00000427868.6	5	ENSG00000232677.11
ENST00000523757.5	11	ENSG00000104497.15
ENST00000597245.2	141	ENSG00000237224.4
ENST00000638284.1	39	ENSG00000243316.7
ENST00000657936.1	18	ENSG00000255794.11
ENST00000426988.1	12	ENSG00000187231.14
ENST00000615021.4	42	ENSG00000105388.17
ENST00000520686.5	6	ENSG00000205133.12
ENST00000519069.5	17	ENSG00000205133.12
ENST00000371150.5	58	ENSG00000132854.19
ENST00000688185.1	6	ENSG00000214176.11
ENST00000652480.1	73	ENSG00000286090.1
ENST00000525287.5	21	ENSG00000179832.18
ENST00000280605.5	97	ENSG00000151005.5
ENST00000595919.1	171	ENSG00000269981.1
ENST00000695944.1	24	ENSG00000197766.9
ENST00000384372.1	23	ENSG00000207100.1
ENST00000536216.1	121	ENSG00000257025.1
ENST00000643757.1	348	ENSG00000104889.7
ENST00000457554.1	180	ENSG00000234287.1
ENST00000342558.3	49	ENSG00000107758.16
ENST00000404100.1	246	ENSG00000219500.1
ENST00000620405.1	7	ENSG00000272398.6
ENST00000571285.1	13	ENSG00000140987.21
ENST00000520327.6	16	ENSG00000037749.13
ENST00000637695.1	23	ENSG00000283457.2
ENST00000425533.1	12	ENSG00000235453.12
ENST00000603780.1	271	ENSG00000271063.1
ENST00000469392.1	52	ENSG00000174502.19
ENST00000584486.6	213	ENSG00000263513.6
ENST00000666451.1	95	ENSG00000286273.1
ENST00000465930.1	42	ENSG00000168658.19
ENST00000688700.1	47	ENSG00000289023.1
ENST00000614107.4	288	ENSG00000078549.15
ENST00000625256.1	67	ENSG00000280927.1
ENST00000446336.1	40	ENSG00000244625.7
ENST00000637521.2	9	ENSG00000136854.24
ENST00000625000.1	37	ENSG00000279743.1
ENST00000663268.1	22	ENSG00000125804.14
ENST00000558130.1	9	ENSG00000103740.10
ENST00000568079.5	52	ENSG00000184517.12
ENST00000308423.7	52	ENSG00000131471.7
ENST00000680270.1	9	ENSG00000160710.18
ENST00000676918.1	3	ENSG00000008988.11
ENST00000420490.1	157	ENSG00000224942.1
ENST00000339556.8	95	ENSG00000189171.15
ENST00000607291.1	156	ENSG00000271922.1
ENST00000497275.5	234	ENSG00000121769.8
ENST00000517486.5	13	ENSG00000197043.15
ENST00000451170.1	126	ENSG00000237528.1
ENST00000374379.9	83	ENSG00000169504.15
ENST00000358855.8	18	ENSG00000198000.12
ENST00000619665.1	38	ENSG00000275995.1
